experiment,seed,gpu_id,val_mean,val_std,val_sem,test_acc,status,error,elapsed_minutes,model_kwargs
Activation: GELU,1337,7,85.6140350877193,2.089671798170457,0.8358687192681826,84.0,success,,48.93326327006022,{'activation': 'gelu'}
Activation: GELU,2024,5,83.33333333333334,1.641077801216642,0.6564311204866567,85.5,success,,48.23915561040243,{'activation': 'gelu'}
Activation: GELU,9999,0,83.59649122807018,1.743386571434367,0.6973546285737467,87.5,success,,47.41799927949906,{'activation': 'gelu'}
Activation: GELU,7777,4,85.08771929824562,2.148675212967698,0.8594700851870792,84.5,success,,48.19451216856638,{'activation': 'gelu'}
Activation: ELU,42,2,84.3859649122807,1.9516311808146478,0.7806524723258591,80.5,success,,47.28870498736699,{'activation': 'elu'}
Activation: ELU,1337,3,84.3859649122807,3.0481667287533427,1.219266691501337,86.0,success,,47.67079353729884,{'activation': 'elu'}
Activation: ELU,2024,1,83.33333333333333,1.487353066474839,0.5949412265899355,86.5,success,,48.88985418876012,{'activation': 'elu'}
Activation: ELU,7777,6,85.7017543859649,1.9017090691823544,0.7606836276729417,81.0,success,,47.65777870814006,{'activation': 'elu'}
Activation: ELU,9999,7,85.0,2.179784849085823,0.8719139396343293,88.5,success,,47.92234036922455,{'activation': 'elu'}
Activation: SiLU,42,5,83.33333333333333,2.77392777207753,1.1095711088310118,82.5,success,,48.14033156633377,{'activation': 'silu'}
Activation: SiLU,1337,0,84.03508771929825,4.225120904839404,1.6900483619357614,84.0,success,,47.958009696006776,{'activation': 'silu'}
Activation: SiLU,2024,4,84.12280701754386,1.176877882894629,0.4707511531578515,88.0,success,,48.250621287028,{'activation': 'silu'}
Activation: SiLU,7777,2,85.26315789473685,2.8356543640780014,1.1342617456312005,84.5,success,,48.155159922440845,{'activation': 'silu'}
Activation: SiLU,9999,3,84.64912280701755,3.0386856273138223,1.2154742509255287,88.0,success,,48.08768383264542,{'activation': 'silu'}
